timestamp,t_room,rh_room,t_out,rh_out,setpoint
2024-06-01 02:06:00,23.894079555966695,64.0,31.8,65.0,22.0
2024-06-01 02:07:00,23.90101757631822,65.0,31.8,65.0,22.0
2024-06-01 02:08:00,23.90795559666975,65.0,31.8,65.0,22.0
2024-06-01 02:09:00,23.913506012950972,65.0,31.8,65.0,22.0
2024-06-01 02:10:00,23.919056429232192,65.0,31.8,65.0,22.0
2024-06-01 02:11:00,23.924606845513413,66.0,31.8,65.0,22.0
2024-06-01 02:12:00,23.930157261794633,66.0,31.8,65.0,22.0
2024-06-01 02:13:00,23.935707678075858,66.0,31.8,65.0,22.0
2024-06-01 02:14:00,23.941258094357078,66.0,31.8,65.0,22.0
2024-06-01 02:15:00,23.9468085106383,66.0,31.8,65.0,22.0
2024-06-01 02:16:00,23.952358926919516,66.0,31.8,65.0,22.0
2024-06-01 02:17:00,23.95790934320074,67.0,31.8,65.0,22.0
2024-06-01 02:18:00,23.96345975948196,67.0,31.8,65.0,22.0
2024-06-01 02:19:00,23.970397779833487,67.0,31.8,65.0,22.0
2024-06-01 02:20:00,23.9745605920444,67.0,31.8,65.0,22.0
2024-06-01 02:21:00,23.980111008325625,67.0,31.8,65.0,22.0
2024-06-01 02:22:00,23.985661424606846,67.0,31.8,65.0,22.0
2024-06-01 02:23:00,23.98982423681776,68.0,31.8,65.0,22.0
2024-06-01 02:24:00,23.99398704902868,68.0,31.8,65.0,22.0
2024-06-01 02:25:00,23.998149861239593,68.0,31.8,65.0,22.0
2024-06-01 02:26:00,24.002312673450508,68.0,31.8,65.0,22.0
2024-06-01 02:27:00,24.006475485661422,69.0,31.8,65.0,22.0
2024-06-01 02:28:00,24.012025901942646,69.0,31.8,65.0,22.0
2024-06-01 02:29:00,24.017576318223867,69.0,31.8,65.0,22.0
2024-06-01 02:30:00,24.023126734505087,69.0,31.8,65.0,22.0
2024-06-01 02:31:00,24.028677150786308,69.0,31.8,65.0,22.0
2024-06-01 02:32:00,24.032839962997222,69.0,31.8,65.0,22.0
2024-06-01 02:33:00,24.038390379278447,70.0,31.8,65.0,22.0
2024-06-01 02:34:00,24.043940795559667,69.0,31.8,65.0,22.0
2024-06-01 02:35:00,24.049491211840888,69.0,31.8,65.0,22.0
2024-06-01 02:36:00,24.05781683626272,69.0,31.8,65.0,22.0
2024-06-01 02:37:00,24.06336725254394,69.0,31.8,65.0,22.0
2024-06-01 02:38:00,24.06891766882516,69.0,31.8,65.0,22.0
2024-06-01 02:39:00,24.074468085106382,70.0,31.8,65.0,22.0
2024-06-01 02:40:00,24.080018501387602,70.0,31.8,65.0,22.0
2024-06-01 02:41:00,24.085568917668827,70.0,31.8,65.0,22.0
2024-06-01 02:42:00,24.091119333950047,70.0,31.8,65.0,22.0
2024-06-01 02:43:00,24.09528214616096,71.0,31.8,65.0,22.0
2024-06-01 02:44:00,24.100832562442182,71.0,31.8,65.0,22.0
2024-06-01 02:45:00,24.104995374653097,71.0,31.8,65.0,22.0
2024-06-01 02:46:00,24.11054579093432,71.0,31.8,65.0,22.0
2024-06-01 02:47:00,24.11609620721554,71.0,31.8,65.0,22.0
2024-06-01 02:48:00,24.121646623496762,71.0,31.8,65.0,22.0
2024-06-01 02:49:00,24.127197039777982,71.0,31.8,65.0,22.0
2024-06-01 02:50:00,24.132747456059203,71.0,31.8,65.0,22.0
2024-06-01 02:51:00,24.13968547641073,71.0,31.8,65.0,22.0
2024-06-01 02:52:00,24.14523589269195,71.0,31.8,65.0,22.0
2024-06-01 02:53:00,24.152173913043477,71.0,31.8,65.0,22.0
2024-06-01 02:54:00,24.159111933395003,71.0,31.8,65.0,22.0
2024-06-01 02:55:00,24.16604995374653,71.0,31.8,65.0,22.0
2024-06-01 02:56:00,24.174375578168362,70.0,31.8,65.0,22.0
2024-06-01 02:57:00,24.182701202590195,70.0,31.8,65.0,22.0
2024-06-01 02:58:00,24.189639222941718,70.0,31.8,65.0,22.0
2024-06-01 02:59:00,24.196577243293248,70.0,31.8,65.0,22.0
2024-06-01 03:00:00,24.20351526364477,71.0,31.8,65.0,22.0
2024-06-01 03:01:00,24.210453283996298,71.0,31.8,65.0,22.0
2024-06-01 03:02:00,24.21600370027752,71.0,31.8,65.0,22.0
2024-06-01 03:03:00,24.221554116558742,71.0,31.8,65.0,22.0
2024-06-01 03:04:00,24.22849213691027,71.0,31.8,65.0,22.0
2024-06-01 03:05:00,24.23404255319149,71.0,31.8,65.0,22.0
2024-06-01 03:06:00,24.236817761332098,71.0,31.8,65.0,22.0
2024-06-01 03:07:00,24.24236817761332,71.0,31.8,65.0,22.0
2024-06-01 03:08:00,24.24791859389454,71.0,31.8,65.0,22.0
2024-06-01 03:09:00,24.254856614246066,71.0,31.8,65.0,22.0
2024-06-01 03:10:00,24.26040703052729,71.0,31.8,65.0,22.0
2024-06-01 03:11:00,24.264569842738204,71.0,31.8,65.0,22.0
2024-06-01 03:12:00,24.270120259019425,71.0,31.8,65.0,22.0
2024-06-01 03:13:00,24.278445883441258,71.0,31.8,65.0,22.0
2024-06-01 03:14:00,24.283996299722478,71.0,31.8,65.0,22.0
2024-06-01 03:15:00,24.29232192414431,71.0,31.8,65.0,22.0
2024-06-01 03:16:00,24.29787234042553,71.0,31.8,65.0,22.0
2024-06-01 03:17:00,24.304810360777058,71.0,31.8,65.0,22.0
2024-06-01 03:18:00,24.31036077705828,71.0,31.8,65.0,22.0
2024-06-01 03:19:00,24.3159111933395,71.0,31.8,65.0,22.0
2024-06-01 03:20:00,24.322849213691025,70.0,31.8,65.0,22.0
2024-06-01 03:21:00,24.328399629972246,70.0,31.8,65.0,22.0
2024-06-01 03:22:00,24.335337650323773,70.0,31.8,65.0,22.0
2024-06-01 03:23:00,24.339500462534687,71.0,31.8,65.0,22.0
2024-06-01 03:24:00,24.343663274745605,71.0,31.8,65.0,22.0
2024-06-01 03:25:00,24.34782608695652,71.0,31.8,65.0,22.0
2024-06-01 03:26:00,24.350601295097132,71.0,31.8,65.0,22.0
2024-06-01 03:27:00,24.35337650323774,71.0,31.8,65.0,22.0
2024-06-01 03:28:00,24.356151711378352,71.0,31.8,65.0,22.0
2024-06-01 03:29:00,24.35892691951896,71.0,31.8,65.0,22.0
2024-06-01 03:30:00,24.361702127659573,71.0,31.8,65.0,22.0
2024-06-01 03:31:00,24.364477335800185,71.0,31.8,65.0,22.0
2024-06-01 03:32:00,24.3686401480111,71.0,31.8,65.0,22.0
2024-06-01 03:33:00,24.371415356151708,71.0,31.8,65.0,22.0
2024-06-01 03:34:00,24.372802960222014,71.0,31.8,65.0,22.0
2024-06-01 03:35:00,24.375578168362626,71.0,31.8,65.0,22.0
2024-06-01 03:36:00,24.379740980573544,71.0,31.8,65.0,22.0
2024-06-01 03:37:00,24.382516188714153,71.0,31.8,65.0,22.0
2024-06-01 03:38:00,24.385291396854765,71.0,31.8,65.0,22.0
2024-06-01 03:39:00,24.385291396854765,71.0,31.8,65.0,22.0
2024-06-01 03:40:00,24.388066604995373,71.0,31.8,65.0,22.0
2024-06-01 03:41:00,24.392229417206288,71.0,31.8,65.0,22.0
2024-06-01 03:42:00,24.3950046253469,71.0,31.8,65.0,22.0
2024-06-01 03:43:00,24.396392229417206,71.0,31.8,65.0,22.0
2024-06-01 03:44:00,24.400555041628124,71.0,31.8,65.0,22.0
2024-06-01 03:45:00,24.403330249768732,71.0,31.8,65.0,22.0
2024-06-01 03:46:00,24.40610545790934,71.0,31.8,65.0,22.0
2024-06-01 03:47:00,24.407493061979647,71.0,31.8,65.0,22.0
2024-06-01 03:48:00,24.41026827012026,71.0,31.8,65.0,22.0
2024-06-01 03:49:00,24.411655874190565,72.0,31.8,65.0,22.0
2024-06-01 03:50:00,24.411655874190565,71.0,31.8,65.0,22.0
2024-06-01 03:51:00,24.411655874190565,71.0,31.8,65.0,22.0
2024-06-01 03:52:00,24.411655874190565,71.0,31.8,65.0,22.0
2024-06-01 03:53:00,24.413043478260867,71.0,31.8,65.0,22.0
2024-06-01 03:54:00,24.417206290471785,71.0,31.8,65.0,22.0
2024-06-01 03:55:00,24.4213691026827,71.0,31.8,65.0,22.0
2024-06-01 03:56:00,24.42691951896392,71.0,31.8,65.0,22.0
2024-06-01 03:57:00,24.432469935245145,71.0,31.8,65.0,22.0
2024-06-01 03:58:00,24.43663274745606,71.0,31.8,65.0,22.0
2024-06-01 03:59:00,24.440795559666974,71.0,31.8,65.0,22.0
2024-06-01 04:00:00,24.444958371877892,71.0,31.8,65.0,22.0
2024-06-01 04:01:00,24.449121184088806,71.0,31.8,65.0,22.0
2024-06-01 04:02:00,24.454671600370027,71.0,31.8,65.0,22.0
2024-06-01 04:03:00,24.46022201665125,71.0,31.8,65.0,22.0
2024-06-01 04:04:00,24.464384828862165,71.0,31.8,65.0,22.0
2024-06-01 04:05:00,24.467160037002774,71.0,31.8,65.0,22.0
2024-06-01 04:06:00,24.46854764107308,71.0,31.8,65.0,22.0
2024-06-01 04:07:00,24.469935245143386,71.0,31.8,65.0,22.0
2024-06-01 04:08:00,24.47132284921369,71.0,31.8,65.0,22.0
2024-06-01 04:09:00,24.4740980573543,71.0,31.8,65.0,22.0
2024-06-01 04:10:00,24.476873265494913,71.0,31.8,65.0,22.0
2024-06-01 04:11:00,24.481036077705827,71.0,31.8,65.0,22.0
2024-06-01 04:12:00,24.485198889916745,71.0,31.8,65.0,22.0
2024-06-01 04:13:00,24.48936170212766,71.0,31.8,65.0,22.0
2024-06-01 04:14:00,24.492136910268272,71.0,31.8,65.0,22.0
2024-06-01 04:15:00,24.496299722479186,71.0,31.8,65.0,22.0
2024-06-01 04:16:00,24.5004625346901,71.0,31.8,65.0,22.0
2024-06-01 04:17:00,24.504625346901015,71.0,31.8,65.0,22.0
2024-06-01 04:18:00,24.51017576318224,71.0,31.8,65.0,22.0
2024-06-01 04:19:00,24.515726179463456,71.0,31.8,65.0,22.0
2024-06-01 04:20:00,24.52127659574468,71.0,31.8,65.0,22.0
2024-06-01 04:21:00,24.526827012025898,71.0,31.8,65.0,22.0
2024-06-01 04:22:00,24.53237742830712,71.0,31.8,65.0,22.0
2024-06-01 04:23:00,24.537927844588342,71.0,31.8,65.0,22.0
2024-06-01 04:24:00,24.540703052728954,71.0,31.8,65.0,22.0
2024-06-01 04:25:00,24.543478260869563,71.0,31.8,65.0,22.0
2024-06-01 04:26:00,24.54486586493987,71.0,31.8,65.0,22.0
2024-06-01 04:27:00,24.54486586493987,71.0,31.8,65.0,22.0
2024-06-01 04:28:00,24.54764107308048,71.0,31.8,65.0,22.0
2024-06-01 04:29:00,24.55041628122109,71.0,31.8,65.0,22.0
2024-06-01 04:30:00,24.551803885291395,71.0,31.8,65.0,22.0
2024-06-01 04:31:00,24.554579093432007,71.0,31.8,65.0,22.0
2024-06-01 04:32:00,24.555966697502313,71.0,31.8,65.0,22.0
2024-06-01 04:33:00,24.557354301572616,71.0,31.8,65.0,22.0
2024-06-01 04:34:00,24.560129509713228,71.0,31.8,65.0,22.0
2024-06-01 04:35:00,24.56290471785384,71.0,31.8,65.0,22.0
2024-06-01 04:36:00,24.567067530064755,71.0,31.8,65.0,22.0
