Room Temparature,Room Humidity (%),Outside Temp,Outside Humid (%),T.Offset,H.Offset,Set Temperature ,Volt,Amp,Energy,Target,Com_Target,Hum_Target,Volt_Target,Amp_Target
29.23437037,75.94814815,33.33037037,74.28148148,,,20,225.5827059,6.381941176,24.13529412,24.26470588,29.33916049,75.9308642,225.3022941,6.340058824
29.33916049,75.9308642,33.29049383,74.37530864,,,20,225.3022941,6.340058824,24.26470588,24.39411765,29.44395062,75.91358025,225.0218824,6.298176471
29.44395062,75.91358025,33.25061728,74.4691358,,,20,225.0218824,6.298176471,24.39411765,24.52352941,29.54874074,75.8962963,224.7414706,6.256294118
29.54874074,75.8962963,33.21074074,74.56296296,,,20,224.7414706,6.256294118,24.52352941,24.65294118,29.65353086,75.87901235,224.4610588,6.214411765
29.65353086,75.87901235,33.1708642,74.65679012,,,20,224.4610588,6.214411765,24.65294118,24.78235294,29.75832099,75.8617284,224.1806471,6.172529412
29.75832099,75.8617284,33.13098765,74.75061728,,,20,224.1806471,6.172529412,24.78235294,24.91176471,29.86311111,75.84444444,223.9002353,6.130647059
29.86311111,75.84444444,33.09111111,74.84444444,,,20,223.9002353,6.130647059,24.91176471,25.04117647,29.96790123,75.82716049,223.6198235,6.088764706
29.96790123,75.82716049,33.05123457,74.9382716,3.083333333,-0.888888889,20,223.6198235,6.088764706,25.04117647,25.17058824,29.82721713,75.48318043,223.3394118,6.046882353
29.82721713,75.48318043,34.31715596,78.25076453,4.489938838,2.767584098,20,223.3394118,6.046882353,25.17058824,25.3,27.06484848,55.86060606,223.059,6.005
27.06484848,55.86060606,34.9490303,77.42424242,7.884181818,21.56363636,20,223.059,6.005,25.3,25.75,26.83117284,58.66975309,221.5796667,6.499666667
26.83117284,58.66975309,34.96537037,69.82716049,8.134197531,11.15740741,20,221.5796667,6.499666667,25.75,26.2,26.584375,60.73125,220.1003333,6.994333333
26.584375,60.73125,35.1029375,62.675,8.5185625,1.94375,20,220.1003333,6.994333333,26.2,26.65,26.65,66.70496894,218.621,7.489
